,structure,sequence,number_of_FLS,number_of_contact,number_of_HH_contact,contact_order,energy,hydrophobicity,designability,reversed_structure,number_of_FLS_in_reversed_structure
194,032303010111233,0010010110110011,1,8.0,6.0,0.390625,-5.9,8,32,003222121010301,2
195,032303010121103,0010010110111001,1,8.0,6.0,0.3125,-5.9,8,31,032212323030103,1
196,032303010101223,0010010111000001,0,8.0,4.0,0.390625,-4.0,6,601,033212121010301,1
197,032303010101223,0010010111000101,0,8.0,4.0,0.390625,-4.0,7,601,033212121010301,1
198,032303010101223,0010010111100001,0,8.0,5.0,0.390625,-5.0,7,601,033212121010301,1
199,032303010101223,0010010111100101,0,8.0,6.0,0.390625,-6.0,8,601,033212121010301,1
200,032303010101223,0010010111101101,0,8.0,6.0,0.390625,-6.0,9,601,033212121010301,1
201,032300301012123,0010011000001001,1,8.0,4.0,0.390625,-3.9,5,127,032321210110301,1
202,032300301012123,0010011000001011,1,8.0,4.0,0.390625,-3.9,6,127,032321210110301,1
203,032300301012123,0010011000001101,1,8.0,4.0,0.390625,-3.9,6,127,032321210110301,1
204,032303301101123,0010011000101001,3,8.0,5.0,0.375,-4.7,6,18,032212210010301,2
205,032300301012123,0010011001000001,1,8.0,4.0,0.390625,-3.9,5,127,032321210110301,1
206,032300301012123,0010011001001001,1,8.0,6.0,0.390625,-5.9,6,127,032321210110301,1
207,032300301012123,0010011001001011,1,8.0,6.0,0.390625,-5.9,7,127,032321210110301,1
208,032300301012123,0010011001001101,1,8.0,6.0,0.390625,-5.9,7,127,032321210110301,1
209,032300301012123,0010011001011001,1,8.0,6.0,0.390625,-5.9,7,127,032321210110301,1
210,032300301012123,0010011001011101,1,8.0,6.0,0.390625,-5.9,8,127,032321210110301,1
211,032300301101223,0010011001100101,2,8.0,6.0,0.40625,-5.8,7,11,033212210110301,3
212,032300301012123,0010011001101001,1,8.0,6.0,0.390625,-5.9,7,127,032321210110301,1
213,032300301012123,0010011001101011,1,8.0,6.0,0.390625,-5.9,8,127,032321210110301,1
214,032300301012123,0010011001101101,1,8.0,6.0,0.390625,-5.9,8,127,032321210110301,1
215,032300301012123,0010011001111001,1,8.0,6.0,0.390625,-5.9,8,127,032321210110301,1
216,032300301012123,0010011001111101,1,8.0,6.0,0.390625,-5.9,9,127,032321210110301,1
