,structure,sequence,number_of_FLS,number_of_contact,number_of_HH_contact,contact_order,energy,hydrophobicity,designability,reversed_structure,number_of_FLS_in_reversed_structure
5227,032321212101033,1011101010100001,0,7.0,5.0,0.38392857142857145,-5.0,8,362,003232121210103,1
5228,032321212101033,1011101010100011,0,7.0,5.0,0.38392857142857145,-5.0,9,362,003232121210103,1
5229,032321212110303,1011101010100101,1,7.0,7.0,0.4017857142857143,-6.0,9,24,030322121210103,1
5230,032321212110303,1011101010100111,1,7.0,7.0,0.4017857142857143,-6.0,10,24,030322121210103,1
5231,032321212101033,1011101010101001,0,7.0,5.0,0.38392857142857145,-5.0,9,362,003232121210103,1
5232,032321212101033,1011101010101011,0,7.0,5.0,0.38392857142857145,-5.0,10,362,003232121210103,1
5233,032321212110303,1011101010101101,1,7.0,7.0,0.4017857142857143,-6.0,10,24,030322121210103,1
5234,032321212110303,1011101010101111,1,7.0,7.0,0.4017857142857143,-6.0,11,24,030322121210103,1
5235,032321212101033,1011101010110001,0,7.0,6.0,0.38392857142857145,-6.0,9,362,003232121210103,1
5236,032321212101033,1011101010110011,0,7.0,7.0,0.38392857142857145,-7.0,10,362,003232121210103,1
5237,032321212101033,1011101010110111,0,7.0,7.0,0.38392857142857145,-7.0,11,362,003232121210103,1
5238,032321212101033,1011101010111001,0,7.0,6.0,0.38392857142857145,-6.0,10,362,003232121210103,1
5239,032321212101033,1011101010111011,0,7.0,7.0,0.38392857142857145,-7.0,11,362,003232121210103,1
5240,032321212101033,1011101010111111,0,7.0,7.0,0.38392857142857145,-7.0,12,362,003232121210103,1
5241,030103032321221,1011101011001101,0,8.0,7.0,0.46875,-7.0,10,415,033032321210121,1
5242,030103032321221,1011101011001111,0,8.0,7.0,0.46875,-7.0,11,415,033032321210121,1
5243,030103032321221,1011101011011101,0,8.0,7.0,0.46875,-7.0,11,415,033032321210121,1
5244,032321232121000,1011101100000011,0,8.0,5.0,0.359375,-5.0,8,184,000323212321210,1
5245,032321232300001,1011101100000101,0,8.0,5.0,0.40625,-5.0,8,46,033332121012123,1
5246,032321232110103,1011101100001001,1,8.0,6.0,0.34375,-5.0,8,77,032322101210103,1
5247,032303232111110,1011101100011101,0,8.0,6.0,0.4375,-6.0,10,137,033333212101210,1
5248,032321232121000,1011101100100011,0,8.0,6.0,0.359375,-6.0,9,184,000323212321210,1
5249,032321232110103,1011101100101001,1,8.0,7.0,0.34375,-6.0,9,77,032322101210103,1
5250,032303232111110,1011101100111101,0,8.0,7.0,0.4375,-7.0,11,137,033333212101210,1
5251,032321210121003,1011101101000001,0,8.0,5.0,0.34375,-5.0,8,287,033212321210103,1
